"No.","Time","Source","Destination","Protocol","Length","Info","TS","Seq"
"144","1.679037","10.2.0.17","10.2.0.11","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15685, Time=1628642495","1628642495","15685"
"145","1.681609","10.2.0.11","10.2.0.17","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15685, Time=1628642495","1628642495","15685"
"146","1.699039","10.2.0.17","10.2.0.11","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15686, Time=1628642655","1628642655","15686"
"147","1.702054","10.2.0.11","10.2.0.17","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15686, Time=1628642655","1628642655","15686"
"148","1.719028","10.2.0.17","10.2.0.11","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15687, Time=1628642815","1628642815","15687"
"149","1.721588","10.2.0.11","10.2.0.17","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15687, Time=1628642815","1628642815","15687"
"150","1.739029","10.2.0.17","10.2.0.11","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15688, Time=1628642975","1628642975","15688"
"151","1.740950","10.2.0.11","10.2.0.17","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15688, Time=1628642975","1628642975","15688"
"152","1.759028","10.2.0.17","10.2.0.11","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15689, Time=1628643135","1628643135","15689"
"153","1.763281","10.2.0.11","10.2.0.17","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15689, Time=1628643135","1628643135","15689"
"154","1.779030","10.2.0.17","10.2.0.11","RTP","89","PT=DynamicRTP-Type-127, SSRC=0x76832B0C, Seq=15690, Time=1628643295","1628643295","15690"
